task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
longitudinal,mono,random,0.1,0.04324628087819846,-0.03810972699697919,0.17813623711828697,0.012097609329182498
longitudinal,mono,random,0.2,0.1029456037791113,-0.026787874947771396,0.2673193507954722,0.028797752578634737
longitudinal,mono,random,0.3,0.15006973612608687,-0.01991140789561715,0.32319800084862255,0.04198014263700849
longitudinal,mono,random,0.5,0.2586166080723362,0.015596786769030216,0.42587407762598145,0.07234478033635156
longitudinal,mono,uncertainty,0.1,0.17274138999685074,-0.022672280701837216,0.35625813881148855,0.04832225589635277
longitudinal,mono,uncertainty,0.2,0.19781977011073765,0.009265077887028931,0.3491005497969387,0.055337620895739084
longitudinal,mono,uncertainty,0.3,0.20828809449745497,-0.002368493229625677,0.3666493428586579,0.05826600447439506
longitudinal,mono,uncertainty,0.5,0.35289749489680067,0.13734782568952048,0.5061245637953149,0.09871868608846981
longitudinal,mono,criticality,0.1,0.07008962838376587,0.011992591644500603,0.16964897297501624,0.01960670200987934
longitudinal,mono,criticality,0.2,0.17728780160484559,0.058996095878602405,0.34332991047436057,0.04959405801126964
longitudinal,mono,criticality,0.3,0.30839434368031726,0.08706508264113988,0.442578638886334,0.08626948291072417
longitudinal,mono,criticality,0.5,0.42743299906315413,0.2036093180021754,0.580796118166919,0.1195690665662225
longitudinal,mono,perception_oracle_dE,0.1,0.00019129225597807643,-0.06431806448186156,0.05795264105021423,5.3511629983594266e-05
longitudinal,mono,perception_oracle_dE,0.2,0.030045747192044538,-0.07975510483528889,0.13922182786315893,0.008404924172704458
longitudinal,mono,perception_oracle_dE,0.3,0.0448069313165483,-0.08872419521213773,0.20507665953683485,0.012534181883380836
longitudinal,mono,perception_oracle_dE,0.5,0.12467991864291011,-0.09606125729504719,0.33016728948140855,0.034877656906135736
longitudinal,mono,best_dE_metric (E6_risk_weighted),0.1,0.10090553754626763,-0.006412558322639134,0.2551500972162377,0.028227069417229255
longitudinal,mono,best_dE_metric (E6_risk_weighted),0.2,0.1646490591780407,-0.011036687791056102,0.34794266948506153,0.04605852697399311
longitudinal,mono,best_dE_metric (E6_risk_weighted),0.3,0.17251465390340825,-0.004782799109740868,0.36440018098499255,0.04825882929356541
longitudinal,mono,best_dE_metric (E6_risk_weighted),0.5,0.1692909030925367,-0.05963074242635854,0.38265089326980856,0.04735702508999932
longitudinal,mono,multimetric_dE_oracle,0.1,0.1191387472326077,0.03332442876230071,0.218671526895559,0.0333275831058782
longitudinal,mono,multimetric_dE_oracle,0.2,0.15110765672153223,0.036666245441244236,0.2755822541331585,0.04227048801754595
longitudinal,mono,multimetric_dE_oracle,0.3,0.2608564365257982,0.02620474330802577,0.4137182726025727,0.07297134449502884
longitudinal,mono,multimetric_dE_oracle,0.5,0.3416593707074586,0.08277952028937118,0.5172338280135698,0.09557496058711615
longitudinal,mono,PKL_gain,0.1,0.07054900127033528,-0.011551322502016908,0.14912999549969752,0.019735205862818458
longitudinal,mono,PKL_gain,0.2,0.08704978184393286,-0.020115506698677996,0.19440359704869375,0.024351094049092085
longitudinal,mono,PKL_gain,0.3,0.10676391122294222,-0.07131757404512928,0.2271126938654334,0.029865876607248324
longitudinal,mono,PKL_gain,0.5,0.1623281180626584,-0.0031011410112365243,0.3088234384693476,0.04540927255674017
longitudinal,mono,TIP_gain,0.1,0.07557992630239055,-0.014621007600768864,0.17975895618763865,0.021142544583427188
longitudinal,mono,TIP_gain,0.2,0.06844183714344716,-0.047940254397559445,0.17330531673875613,0.019145752899883753
longitudinal,mono,TIP_gain,0.3,0.1511860470109979,-0.025729186017830037,0.29212802216821715,0.0422924167262788
longitudinal,mono,TIP_gain,0.5,0.1729923403415914,-0.01466568692447286,0.34169447771638717,0.04839245613484835
longitudinal,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.2797375654858036
longitudinal,mono,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.2797375654858036
longitudinal,mono,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.2797375654858036
longitudinal,mono,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.2797375654858036
longitudinal,mono,uncertainty [scene-z],0.1,0.033148213752201054,-0.0295357198571762,0.12078013444408282,0.009272800615243758
longitudinal,mono,uncertainty [scene-z],0.2,0.03136478363666341,-0.07533514672405338,0.1854157712450484,0.008773908216509191
longitudinal,mono,uncertainty [scene-z],0.3,0.1479577012341679,0.0059459622657607,0.3490219512019213,0.041389327138122003
longitudinal,mono,uncertainty [scene-z],0.5,0.30519012638359794,0.1312881340819157,0.47862233349583333,0.0853731429648524
longitudinal,mono,criticality [scene-z],0.1,0.037636866537456876,-0.05670856757984946,0.14660883817757983,0.010528445417702294
longitudinal,mono,criticality [scene-z],0.2,0.11372015131684743,-0.025253646209193376,0.23780436980956285,0.0318117982760521
longitudinal,mono,criticality [scene-z],0.3,0.14539998443003369,-0.005493594782940498,0.32356006040423774,0.04067383766613137
longitudinal,mono,criticality [scene-z],0.5,0.4728840097352289,0.17705079228639145,0.5933358107222856,0.13228342164049797
longitudinal,mono,perception_oracle_dE [scene-z],0.1,0.061979358139070295,-0.024594979787374016,0.14935285522114466,0.01733795475619625
longitudinal,mono,perception_oracle_dE [scene-z],0.2,0.11969353882342394,0.0023957996968375066,0.25303928454083835,0.033482779154845134
longitudinal,mono,perception_oracle_dE [scene-z],0.3,0.11791727434645853,-0.01704173649370659,0.2698332418726156,0.032985891254399914
longitudinal,mono,perception_oracle_dE [scene-z],0.5,0.09267951526296848,-0.11391222221897024,0.2814180887403265,0.025925941970067184
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.1,0.14768101983320298,0.014754019283449804,0.304010858913259,0.04131192895660088
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.2,0.14374947654431128,-0.01663228394465402,0.33668762782363615,0.04021212860836426
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.3,0.15318129684187365,-0.021007328995176038,0.33027108072600175,0.042850563056503956
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.5,0.22984446436649036,0.05209258544094316,0.43734137245275595,0.06429613090227056
longitudinal,mono,multimetric_dE_oracle [scene-z],0.1,0.16624609514077537,0.08546634204499477,0.2567914719687474,0.046505277926201787
longitudinal,mono,multimetric_dE_oracle [scene-z],0.2,0.14089197883362767,0.02543701326643135,0.25578772859227095,0.03941277915539638
longitudinal,mono,multimetric_dE_oracle [scene-z],0.3,0.12415993763159669,-0.023026202659375335,0.33947653962840113,0.03473219868393207
longitudinal,mono,multimetric_dE_oracle [scene-z],0.5,0.3882832727496112,0.08766993808739704,0.5418032879926153,0.10861741743783651
longitudinal,mono,PKL_gain [scene-z],0.1,0.03272361269463123,-0.04859685620829651,0.14440649998970292,0.009154023749096477
longitudinal,mono,PKL_gain [scene-z],0.2,0.0982440757538567,-0.027126394716992897,0.19829423338486898,0.02748255857478674
longitudinal,mono,PKL_gain [scene-z],0.3,0.12954092360561628,-0.009594143995352272,0.2694409155088301,0.03623746260021757
longitudinal,mono,PKL_gain [scene-z],0.5,0.2058636124443535,0.030098521976155576,0.3972084711508758,0.05758778576729643
longitudinal,mono,TIP_gain [scene-z],0.1,0.0316200808965505,-0.04227622563944523,0.11875594239797259,0.008845324450465203
longitudinal,mono,TIP_gain [scene-z],0.2,0.13395114054262003,0.00493891500884732,0.25267041287820524,0.03747116594943925
longitudinal,mono,TIP_gain [scene-z],0.3,0.1294941742450523,-0.004999340307909079,0.268721511428448,0.03622438504790538
longitudinal,mono,TIP_gain [scene-z],0.5,0.18595580523552893,0.004992552600474648,0.3928994918782475,0.05201882424453911
lateral,mono,random,0.1,-0.045209413785309106,-0.2938706736154557,0.1620201095629352,-0.003727649546632391
