quota,policy,mode,total_risk,risk_sd,risk_all_cheap,risk_all_full,risk_oracle,risk_reduction,eta,frac_of_full_gain,n_selected,std_err_total,mean_latency_ms,extra_compute_ms,risk_per_extra_ms,risk_per_1000_extra_ms,mean_energy_mj,extra_energy_j,risk_per_extra_joule,total_frames
0.1,random,pooled,2188.366078677836,7.016423739275461,2289.8879460751723,1265.6403492848162,1673.303732333824,101.52186739733634,0.16465207044681796,0.09911848240159056,801,23288.53125,10.732899999999999,4709.079000000001,0.021558752231027833,21.55875223102783,25.86,11.694600000000001,8.681089340151551,8010.0
0.1,lowest_confidence,pooled,2250.4255656118266,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,39.46238046334565,0.0640016068914469,0.03852816505209028,801,23824.0,10.732899999999999,4709.079000000001,0.008380063376160317,8.380063376160317,25.86,11.694600000000001,3.374410451263459,8010.0
0.1,lowest_min_confidence,pooled,2150.389542028134,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,139.4984040470381,0.22624387867568152,0.13619597886700316,801,22949.0,10.732899999999999,4709.079000000001,0.029623288130659536,29.623288130659535,25.86,11.694600000000001,11.928445953434755,8010.0
0.1,highest_uncertainty,pooled,2133.7281928428793,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,156.15975323229304,0.2532658958047873,0.152462894442364,801,22806.0,10.732899999999999,4709.079000000001,0.03316142142280752,33.16142142280752,25.86,11.694600000000001,13.353150448266126,8010.0
0.1,highest_entropy,pooled,2184.9642968696626,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,104.92364920550972,0.1701692110617744,0.10243973189129736,801,23192.0,10.732899999999999,4709.079000000001,0.022281140156176972,22.28114015617697,25.86,11.694600000000001,8.971974176586604,8010.0
0.1,scene_complexity,pooled,2129.7200856894633,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,160.167860385709,0.25976639819211783,0.1563761153920406,801,22791.0,10.732899999999999,4709.079000000001,0.03401256602102215,34.01256602102215,25.86,11.694600000000001,13.695881892985565,8010.0
0.1,criticality_heuristic,pooled,2092.1896506023927,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,197.6982954727796,0.32063470174361663,0.1930180711112224,801,23010.0,10.732899999999999,4709.079000000001,0.04198236968901553,41.98236968901553,25.86,11.694600000000001,16.9050925617618,8010.0
0.1,riskweighted_uncertainty,pooled,2063.232803135978,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,226.65514293919432,0.3675980310359911,0.22128940663317592,801,22876.0,10.732899999999999,4709.079000000001,0.04813152273283041,48.13152273283041,25.86,11.694600000000001,19.381179599062328,8010.0
0.1,learned_uncertainty,pooled,2058.9704835859193,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,230.917462489253,0.37451082486863807,0.2254508218646252,801,22181.0,10.732899999999999,4709.079000000001,0.04903665079503932,49.03665079503932,25.86,11.694600000000001,19.7456486317833,8010.0
0.1,learned_criticality,pooled,2013.7794880205042,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,276.10845805466806,0.4478033201325085,0.269571985250342,801,22889.0,10.732899999999999,4709.079000000001,0.05863321852418871,58.633218524188706,25.86,11.694600000000001,23.609910390664755,8010.0
